family,network_received_bytes
congur,0
lockscreen,0
smsspy,2867
slocker,0
jisut,0
slocker,0
slocker,0
jisut,0
congur,0
lockscreen,0
jisut,0
slocker,0
slocker,0
<unknown>,0
slocker,0
slocker,0
slocker,0
jisut,0
slocker,0
slocker,0
congur,0
slocker,0
slocker,0
slocker,0
smsspy,0
slocker,0
jisut,0
lockscreen,0
lockscreen,0
jisut,0
smsspy,0
smsspy,0
slocker,0
slocker,0
congur,0
slocker,0
slocker,0
congur,0
slocker,0
lockscreen,0
congur,0
lockscreen,0
slocker,0
congur,0
smsspy,40
<unknown>,0
jisut,0
lockscreen,0
jisut,0
slocker,0
<unknown>,0
slocker,0
slocker,0
slocker,0
<unknown>,0
smsspy,0
slocker,0
slocker,0
slocker,0
jisut,0
lockscreen,0
slocker,0
jisut,0
smsspy,0
slocker,0
<unknown>,0
lockscreen,0
smsspy,0
slocker,0
jisut,0
jisut,0
slocker,0
slocker,0
slocker,0
slocker,0
smsspy,0
jisut,0
slocker,0
slocker,0
lockscreen,0
jisut,0
koler,0
slocker,0
koler,0
slocker,0
slocker,0
lockscreen,0
slocker,0
congur,0
jisut,0
<unknown>,0
smsspy,0
slocker,0
jisut,0
slocker,0
lockscreen,0
slocker,0
koler,0
lockscreen,0
congur,0
smsspy,0
jisut,0
slocker,0
congur,0
jisut,0
jisut,0
slocker,0
lockscreen,0
slocker,0
slocker,0
slocker,0
jisut,0
lockscreen,0
lockscreen,0
jisut,0
slocker,0
slocker,0
smsspy,0
lockscreen,0
slocker,0
lockscreen,0
congur,0
lockscreen,0
jisut,0
<unknown>,0
jisut,0
lockscreen,0
slocker,0
jisut,0
lockscreen,0
congur,0
smsspy,2835
congur,0
slocker,0
slocker,0
<unknown>,0
congur,0
slocker,0
slocker,0
congur,0
slocker,0
slocker,0
slocker,0
jisut,0
slocker,0
slocker,0
jisut,0
slocker,0
lockscreen,0
lockscreen,0
congur,0
lockscreen,0
smsspy,2717252
slocker,0
slocker,0
lockscreen,0
jisut,0
smsspy,1398
slocker,0
slocker,0
jisut,0
slocker,0
smsspy,0
congur,0
koler,0
slocker,0
jisut,0
slocker,0
slocker,0
smsspy,0
smsspy,0
jisut,0
slocker,0
smsspy,0
slocker,0
slocker,0
lockscreen,0
lockscreen,0
lockscreen,0
jisut,0
lockscreen,0
congur,0
smsspy,0
slocker,0
slocker,0
smsspy,33721
slocker,0
jisut,0
slocker,0
<unknown>,0
slocker,0
slocker,0
slocker,0
<unknown>,0
slocker,0
jisut,0
slocker,0
slocker,0
smsspy,0
congur,0
slocker,0
slocker,0
congur,0
slocker,0
jisut,0
jisut,0
slocker,0
smsspy,0
koler,0
jisut,0
congur,0
congur,0
congur,0
slocker,0
slocker,0
slocker,0
lockscreen,0
smsspy,0
smsspy,0
congur,0
jisut,0
slocker,0
jisut,0
jisut,0
slocker,0
slocker,0
jisut,0
smsspy,0
slocker,0
jisut,0
lockscreen,0
slocker,0
jisut,0
lockscreen,0
jisut,0
slocker,0
congur,0
smsspy,0
slocker,0
jisut,0
slocker,0
slocker,0
jisut,0
lockscreen,0
jisut,0
jisut,0
slocker,0
smsspy,336413
slocker,0
smsspy,0
slocker,0
slocker,0
smsspy,0
smsspy,0
koler,0
slocker,0
slocker,0
jisut,0
jisut,0
smsspy,0
jisut,0
slocker,0
jisut,0
slocker,0
congur,0
congur,0
smsspy,40
slocker,0
slocker,0
jisut,0
<unknown>,0
smsspy,31568
lockscreen,0
slocker,0
smsspy,0
jisut,0
lockscreen,0
koler,0
koler,0
slocker,0
jisut,0
lockscreen,0
jisut,0
lockscreen,0
slocker,0
<unknown>,0
slocker,0
jisut,0
smsspy,28050
slocker,0
smsspy,0
lockscreen,0
jisut,0
congur,0
koler,0
slocker,0
slocker,0
slocker,0
slocker,0
jisut,0
slocker,0
slocker,0
slocker,0
slocker,0
jisut,0
jisut,0
congur,0
slocker,0
slocker,0
slocker,0
slocker,0
slocker,0
slocker,0
jisut,0
slocker,0
jisut,0
jisut,0
jisut,0
congur,0
slocker,0
lockscreen,0
slocker,0
lockscreen,0
slocker,0
smsspy,0
lockscreen,0
lockscreen,0
slocker,0
jisut,0
slocker,0
lockscreen,0
congur,0
smsspy,0
<unknown>,0
jisut,0
lockscreen,0
slocker,0
smsspy,556646
jisut,0
smsspy,0
slocker,0
slocker,0
lockscreen,0
jisut,0
koler,0
<unknown>,0
jisut,0
lockscreen,0
lockscreen,0
slocker,0
slocker,0
slocker,0
slocker,0
slocker,0
slocker,0
slocker,0
slocker,0
lockscreen,0
smsspy,0
<unknown>,0
slocker,0
jisut,0
<unknown>,0
slocker,0
slocker,0
lockscreen,0
lockscreen,0
slocker,0
smsspy,120
lockscreen,0
slocker,0
slocker,0
smsspy,0
slocker,0
slocker,0
jisut,0
slocker,0
slocker,0
slocker,0
congur,0
lockscreen,0
jisut,0
slocker,0
jisut,0
slocker,0
jisut,0
smsspy,0
slocker,0
slocker,0
<unknown>,2725136
<unknown>,0
jisut,0
lockscreen,0
lockscreen,0
slocker,0
jisut,0
congur,0
slocker,0
jisut,0
jisut,0
<unknown>,0
jisut,0
slocker,0
koler,0
slocker,0
jisut,0
jisut,0
slocker,0
slocker,0
slocker,0
jisut,0
slocker,0
smsspy,120
slocker,0
jisut,0
koler,0
congur,0
slocker,0
lockscreen,0
lockscreen,0
jisut,0
slocker,0
slocker,0
congur,0
smsspy,0
slocker,0
slocker,0
jisut,0
smsspy,10876
slocker,0
lockscreen,0
slocker,0
koler,0
masnu,240
slocker,0
slocker,0
slocker,0
lockscreen,0
lockscreen,0
jisut,0
lockscreen,0
slocker,0
smsspy,0
slocker,0
jisut,0
congur,0
slocker,0
slocker,0
smsspy,0
slocker,0
slocker,0
slocker,0
slocker,0
slocker,0
jisut,0
masnu,680
jisut,0
jisut,0
congur,0
slocker,0
jisut,0
slocker,0
congur,0
slocker,0
lockscreen,0
congur,0
slocker,0
slocker,0
congur,0
lockscreen,0
slocker,0
slocker,0
jisut,0
congur,0
congur,0
congur,0
slocker,0
smsspy,0
slocker,0
jisut,0
jisut,0
congur,0
slocker,0
slocker,0
jisut,0
slocker,0
jisut,0
lockscreen,0
slocker,0
jisut,0
smsspy,3579
lockscreen,0
jisut,0
slocker,0
slocker,0
slocker,0
jisut,0
slocker,0
slocker,0
slocker,0
slocker,0
slocker,0
slocker,0
