family,memory_heap_alloc,network_received_bytes,network_transmitted_bytes,api_crypto_calls
congur,30007,0,0,0
lockscreen,5096,0,0,0
smsspy,22081,2867,9367,0
slocker,12169,0,0,0
jisut,15256,0,0,0
slocker,20285,0,0,0
slocker,7518,0,0,0
jisut,28210,0,0,0
congur,15034,0,0,4
lockscreen,21471,0,0,9
jisut,25244,0,0,0
slocker,12307,0,0,0
slocker,7269,0,0,0
<unknown>,6259,0,0,0
slocker,19639,0,0,0
slocker,11790,0,0,0
slocker,15979,0,0,4
jisut,16621,0,0,11
slocker,5902,0,0,772
slocker,22337,0,0,25
congur,23528,0,0,220
slocker,12425,0,0,0
slocker,7412,0,0,0
slocker,16290,0,0,0
smsspy,6194,0,0,0
slocker,24095,0,0,4
jisut,12073,0,0,0
lockscreen,21090,0,0,126
lockscreen,13595,0,0,0
jisut,13492,0,0,0
smsspy,6111,0,0,0
smsspy,18959,0,0,0
slocker,11606,0,0,0
slocker,8463,0,0,0
congur,15207,0,0,4
slocker,19153,0,0,0
slocker,12371,0,0,0
congur,12895,0,0,0
slocker,14327,0,0,0
lockscreen,35024,0,0,0
congur,16091,0,0,0
lockscreen,26400,0,0,0
slocker,9120,0,0,591
congur,7403,0,0,0
smsspy,12984,40,480,8
<unknown>,11770,0,0,0
jisut,5672,0,0,0
lockscreen,6838,0,0,0
jisut,16495,0,0,0
slocker,16511,0,0,0
<unknown>,16147,0,0,0
slocker,17227,0,0,0
slocker,12278,0,0,0
slocker,15567,0,0,4
<unknown>,27312,0,0,0
smsspy,13429,0,0,0
slocker,12116,0,0,0
slocker,13019,0,0,0
slocker,20277,0,0,37
jisut,26287,0,0,0
lockscreen,27411,0,0,0
slocker,29732,0,0,0
jisut,14720,0,0,0
smsspy,8730,0,0,935
slocker,12172,0,0,0
<unknown>,16109,0,0,0
lockscreen,23586,0,0,172
smsspy,25700,0,0,0
slocker,12874,0,0,0
jisut,18074,0,0,0
jisut,16475,0,0,0
slocker,9018,0,0,0
slocker,12323,0,0,0
slocker,16783,0,0,4
slocker,7319,0,0,0
smsspy,6328,0,0,1140
jisut,4964,0,0,0
slocker,11742,0,0,0
slocker,15317,0,0,4
lockscreen,25129,0,0,0
jisut,18203,0,0,0
koler,28273,0,0,0
slocker,7212,0,0,0
koler,15696,0,0,0
slocker,12447,0,0,0
slocker,7346,0,0,0
lockscreen,7439,0,0,0
slocker,17048,0,0,0
congur,7389,0,0,0
jisut,11037,0,0,0
<unknown>,16049,0,1020,110
smsspy,15618,0,0,3
slocker,12387,0,0,0
jisut,23041,0,0,0
slocker,12170,0,0,0
lockscreen,8507,0,0,0
slocker,15474,0,0,4
koler,14008,0,0,0
lockscreen,19358,0,0,4
congur,13455,0,0,0
smsspy,11447,0,0,0
jisut,12172,0,0,0
slocker,11741,0,0,0
congur,8184,0,0,0
jisut,28099,0,0,0
jisut,11134,0,0,0
slocker,15474,0,0,0
lockscreen,22955,0,0,12
slocker,11608,0,0,0
slocker,13160,0,0,0
slocker,16002,0,0,37
jisut,19329,0,0,0
lockscreen,11656,0,0,0
lockscreen,31104,0,0,0
jisut,13475,0,0,0
slocker,15276,0,0,4
slocker,13299,0,0,4
smsspy,6055,0,0,0
lockscreen,17040,0,0,0
slocker,16735,0,0,0
lockscreen,13513,0,0,0
congur,18256,0,0,0
lockscreen,18912,0,0,18
jisut,22294,0,0,0
<unknown>,4762,0,0,0
jisut,11808,0,0,0
lockscreen,7689,0,0,69
slocker,21348,0,0,11
jisut,35200,0,0,0
lockscreen,27005,0,0,0
congur,7397,0,0,0
smsspy,23181,2835,4673,4
congur,11508,0,0,0
slocker,7426,0,0,0
slocker,12249,0,0,0
<unknown>,12463,0,0,0
