family,memory,netRecv
smsspy,90022.0,2867.0
smsspy,47572.0,40.0
smsspy,63629.0,2835.0
smsspy,86152.0,2717252.0
smsspy,63494.0,1398.0
smsspy,102562.0,33721.0
smsspy,50186.0,336413.0
smsspy,54330.0,40.0
smsspy,84359.0,31568.0
smsspy,95595.0,28050.0
smsspy,92012.0,556646.0
smsspy,54933.0,120.0
smsspy,52695.0,120.0
smsspy,185649.0,10876.0
masnu,113326.0,240.0
masnu,119653.0,680.0
smsspy,66181.0,3579.0
smsspy,82326.0,1398.0
smsspy,51757.0,40.0
smsspy,40676.0,54572.0
smsspy,35964.0,325284.0
smsspy,60167.0,160.0
smsspy,55116.0,40.0
masnu,155604.0,9761687.0
masnu,127805.0,2862585.0
masnu,156890.0,60961.0
smsspy,46392.0,6906.0
smsspy,37803.0,1737608.0
smsspy,44676.0,6660.0
smsspy,60354.0,4016.0
smsspy,65025.0,3422.0
smsspy,63388.0,1731.0
smsspy,100062.0,34983.0
smsspy,94003.0,29935.0
smsspy,59284.0,120.0
masnu,43048.0,129058.0
tachi,90535.0,1378.0
tachi,108855.0,437400.0
tachi,87937.0,2174.0
leech,50795.0,1422.0
leech,39492.0,2370.0
leech,141516.0,7582.0
tachi,155327.0,2876096.0
tachi,95852.0,1824981.0
leech,109260.0,453309.0
tachi,120934.0,475671.0
tachi,128315.0,5276554.0
leech,136109.0,2090515.0
tachi,111874.0,279187.0
tachi,150603.0,1623480.0
tachi,98921.0,17200.0
tachi,121716.0,584174.0
tachi,85939.0,224521.0
leech,142623.0,914177.0
tachi,90248.0,319792.0
tachi,99622.0,1081514.0
tachi,88359.0,62978.0
tachi,167248.0,4048030.0
tachi,105182.0,747130.0
leech,42895.0,1422.0
tachi,103926.0,747776.0
tachi,89221.0,1143512.0
tachi,106362.0,404823.0
leech,137555.0,1377518.0
tachi,83571.0,1148362.0
tachi,91536.0,83830.0
leech,81627.0,11694.0
tachi,92005.0,25316.0
leech,140375.0,8520.0
tachi,88282.0,2075617.0
tachi,91447.0,21409.0
tachi,82787.0,1472065.0
