date,recon,login,exploit,botnet
2017-12-11,0.0,0.0,0.0,0.671332
2017-12-12,0.170706,0.091875,0.137423,0.712943
2017-12-13,0.252175,0.136449,0.215643,0.738763
2017-12-14,0.301528,0.162654,0.245239,0.750431
2017-12-15,0.333333,0.181408,0.265784,0.755685
2017-12-16,0.355264,0.198547,0.278342,0.757785
2017-12-17,0.372115,0.213499,0.290375,0.757806
2017-12-18,0.434312,0.253356,0.322118,0.780607
2017-12-19,0.463344,0.275322,0.344422,0.800483
2017-12-20,0.481847,0.291208,0.357099,0.831063
2017-12-21,0.494321,0.304125,0.372076,0.857722
2017-12-22,0.505006,0.317733,0.390002,0.883709
2017-12-23,0.5151,0.332448,0.407693,0.910589
2017-12-24,0.523347,0.349581,0.423276,0.937591
2017-12-25,0.523181,0.369124,0.453994,0.955078
2017-12-26,0.522778,0.394066,0.489169,0.968742
2017-12-27,0.520716,0.423251,0.529474,0.970044
2017-12-28,0.518224,0.455456,0.564696,0.97305
2017-12-29,0.514584,0.48579,0.589494,0.973684
2017-12-30,0.50971,0.511729,0.609401,0.969417
2017-12-31,0.505315,0.533798,0.626135,0.960474
2018-01-01,0.501513,0.550771,0.63159,0.951201
2018-01-02,0.49804,0.562599,0.629456,0.939524
2018-01-03,0.496948,0.569594,0.614533,0.931465
2018-01-04,0.497746,0.573413,0.589434,0.916767
2018-01-05,0.499977,0.575432,0.561985,0.900868
2018-01-06,0.503671,0.57662,0.531274,0.885736
2018-01-07,0.507417,0.576209,0.496358,0.869967
2018-01-08,0.511906,0.574282,0.468666,0.851372
2018-01-09,0.516202,0.573118,0.449119,0.832391
2018-01-10,0.520064,0.575208,0.451586,0.818306
2018-01-11,0.523797,0.578271,0.468073,0.80946
2018-01-12,0.52733,0.582095,0.485236,0.802222
2018-01-13,0.531313,0.588185,0.498384,0.796839
2018-01-14,0.536096,0.593138,0.504594,0.794282
2018-01-15,0.541416,0.59803,0.500182,0.80206
2018-01-16,0.548006,0.602126,0.489779,0.820003
2018-01-17,0.554871,0.600976,0.472874,0.8355
2018-01-18,0.561949,0.596051,0.448499,0.852679
2018-01-19,0.568387,0.588773,0.411458,0.870942
2018-01-20,0.573573,0.577121,0.360757,0.890242
2018-01-21,0.577975,0.568707,0.298332,0.910839
2018-01-22,0.580451,0.562675,0.239985,0.93225
2018-01-23,0.582742,0.556111,0.182527,0.946703
2018-01-24,0.584202,0.55274,0.127717,0.958223
2018-01-25,0.583042,0.553524,0.112391,0.966727
2018-01-26,0.581414,0.555775,0.294611,0.972932
2018-01-27,0.579431,0.560359,0.378612,0.978729
2018-01-28,0.576846,0.56383,0.433593,0.981268
2018-01-29,0.576391,0.567152,0.474504,0.974297
2018-01-30,0.575591,0.571285,0.516749,0.965675
2018-01-31,0.576862,0.576444,0.559548,0.956281
2018-02-01,0.582873,0.580133,0.598875,0.947165
2018-02-02,0.591468,0.5849,0.614708,0.937651
2018-02-03,0.601899,0.591507,0.631904,0.922025
2018-02-04,0.613996,0.598534,0.648072,0.905284
2018-02-05,0.625396,0.603612,0.667088,0.89502
2018-02-06,0.635844,0.609122,0.691333,0.885585
2018-02-07,0.642493,0.612036,0.720545,0.875189
2018-02-08,0.645013,0.613569,0.751383,0.861563
2018-02-09,0.645417,0.613891,0.785763,0.84527
2018-02-10,0.642933,0.611587,0.8204,0.832484
2018-02-11,0.637958,0.607076,0.852052,0.820056
2018-02-12,0.630482,0.603699,0.880938,0.807272
2018-02-13,0.620957,0.599805,0.903944,0.796267
2018-02-14,0.610305,0.597228,0.922079,0.787042
